callStats,2000,,
index,priority,ambIndex,transfer,arrivalTime,dispatchDelay,onSceneDuration,hospitalArrivalTime,transferDuration,dispatchTime,ambArrivalTime,hospitalIndex,numBumps,wasQueued,
57,3,5,1,0.277417,473e-6,0.003818,0.307973,0.011625,0.27789,0.289479,3,0,0
58,1,9,1,0.27756,0.001054,0.006741,0.315659,0.009005,0.278614,0.29258,3,0,0
59,3,2,1,0.286575,585e-6,0.002803,0.320919,0.011588,0.28716,0.301452,3,0,0
60,2,10,1,0.289123,0.00124,0.004424,0.31396,0.011603,0.290363,0.298763,3,0,0
61,1,4,1,0.302205,436e-6,0.016755,0.361649,0.004344,0.302641,0.321655,2,0,0
62,1,1,1,0.304229,321e-6,0.005508,0.324183,0.011355,0.30455,0.310426,3,0,0
63,1,5,1,0.323675,537e-6,0.006276,0.34478,0.009489,0.324211,0.330161,3,0,0
64,3,3,0,0.329602,0.00106,0.005487,-1,0,0.330662,0.348693,-1,0,0
65,3,1,1,0.336684,0.002319,0.001992,0.384214,0.016532,0.339003,0.359797,2,0,0
66,2,4,0,0.352802,0.00195,0.005991,-1,0,0.367597,0.388411,-1,2,0
67,2,2,1,0.353013,659e-6,0.00668,0.379824,0.002619,0.353672,0.362222,3,0,0
68,1,5,1,0.355843,0.001956,0.003053,0.379644,0.006233,0.357798,0.365456,3,0,0
69,1,6,1,0.356894,0.001495,0.007949,0.372708,0.003517,0.358388,0.360388,3,0,0
70,1,3,1,0.36389,0.00116,0.004823,0.391995,0.00345,0.365049,0.37226,2,0,0
71,2,9,1,0.365752,0.002392,0.001911,0.39927,0.001957,0.370345,0.382666,3,1,0
72,1,7,1,0.366516,0.001081,0.009526,0.407707,0.004914,0.367597,0.381346,2,0,0
73,1,8,1,0.368194,0.002151,0.00463,0.415178,0.001808,0.370345,0.38816,3,0,0
74,1,6,1,0.379513,0.001215,0.00166,0.407278,0.00306,0.380728,0.391921,3,0,0
75,1,10,1,0.38252,0.001592,0.019995,0.434122,0.001786,0.384111,0.397933,3,0,0
76,3,2,1,0.385023,0.001022,0.009464,0.402199,0.012716,0.386045,0.387688,3,0,0
77,2,12,1,0.385935,0.00147,0.014954,0.444227,0.003932,0.394716,0.410809,3,1,0
78,1,5,1,0.388225,0.00285,0.0038,0.426613,0.00205,0.391075,0.405758,3,0,0
79,1,11,1,0.39227,0.002446,0.004803,0.426962,0.003898,0.394716,0.403818,3,0,0
80,2,13,1,0.393952,0.001776,0.004436,0.424527,0.015217,0.395727,0.406723,3,0,0
81,1,1,1,0.410437,994e-6,0.014714,0.462953,0.007917,0.411431,0.427541,3,0,0
82,1,6,0,0.413091,0.001058,0.003903,-1,0,0.414149,0.419256,-1,0,0
83,2,3,1,0.423145,0.00151,0.010954,0.450692,0.003489,0.426784,0.432075,3,1,0
84,1,2,1,0.426449,335e-6,0.008178,0.488168,0.007029,0.426784,0.452134,3,0,0
85,2,4,1,0.430215,0.001696,0.00523,0.484716,0.014897,0.436256,0.456685,3,1,0
86,2,7,1,0.433507,0.002553,0.005527,0.462778,0.002888,0.43606,0.445426,3,0,0
87,1,5,0,0.434702,0.001555,0.009833,-1,0,0.436256,0.455388,-1,0,0
88,2,12,0,0.447604,0.002996,0.008538,-1,0,0.4506,0.471417,-1,0,0
89,2,6,1,0.451199,0.001332,0.003016,0.477511,0.00642,0.452531,0.462327,3,0,0
90,2,3,1,0.455206,0.002318,0.00822,0.488855,0.009736,0.457524,0.467408,3,0,0
91,3,8,1,0.457039,0.002236,0.004831,0.484963,0.00186,0.459274,0.468517,3,0,0
92,1,7,1,0.472275,54e-5,0.015313,0.505255,0.005029,0.472816,0.480193,3,0,0
